Year,County,Gender,Race,Offense_Category,Count
2017,Alameda,Female,Asian/other,Drug,15.0
2017,Alameda,Female,Asian/other,Property,78.0
2017,Alameda,Female,Asian/other,PublicOrder,22.0
2017,Alameda,Female,Asian/other,Violent,125.0
2017,Alameda,Female,Black,Drug,62.0
2017,Alameda,Female,Black,Property,384.0
2017,Alameda,Female,Black,PublicOrder,212.0
2017,Alameda,Female,Black,Violent,398.0
2017,Alameda,Female,Latinx,Drug,38.0
2017,Alameda,Female,Latinx,Property,141.0
2017,Alameda,Female,Latinx,PublicOrder,88.0
2017,Alameda,Female,Latinx,Violent,193.0
2017,Alameda,Female,White,Drug,74.0
2017,Alameda,Female,White,Property,181.0
2017,Alameda,Female,White,PublicOrder,108.0
2017,Alameda,Female,White,Violent,180.0
2017,Alameda,Male,Asian/other,Drug,106.0
2017,Alameda,Male,Asian/other,Property,214.0
2017,Alameda,Male,Asian/other,PublicOrder,186.0
2017,Alameda,Male,Asian/other,Violent,359.0
2017,Alameda,Male,Black,Drug,428.0
2017,Alameda,Male,Black,Property,968.0
2017,Alameda,Male,Black,PublicOrder,1113.0
2017,Alameda,Male,Black,Violent,1242.0
2017,Alameda,Male,Latinx,Drug,278.0
2017,Alameda,Male,Latinx,Property,560.0
2017,Alameda,Male,Latinx,PublicOrder,615.0
2017,Alameda,Male,Latinx,Violent,738.0
2017,Alameda,Male,White,Drug,250.0
2017,Alameda,Male,White,Property,442.0
2017,Alameda,Male,White,PublicOrder,418.0
2017,Alameda,Male,White,Violent,553.0
2017,Alpine,Female,Asian/other,Drug,0.0
2017,Alpine,Female,Asian/other,Property,0.0
2017,Alpine,Female,Asian/other,PublicOrder,0.0
2017,Alpine,Female,Asian/other,Violent,0.0
2017,Alpine,Female,Black,Drug,0.0
2017,Alpine,Female,Black,Property,0.0
2017,Alpine,Female,Black,PublicOrder,0.0
2017,Alpine,Female,Black,Violent,0.0
2017,Alpine,Female,Latinx,Drug,0.0
2017,Alpine,Female,Latinx,Property,0.0
2017,Alpine,Female,Latinx,PublicOrder,0.0
2017,Alpine,Female,Latinx,Violent,0.0
2017,Alpine,Female,White,Drug,1.0
2017,Alpine,Female,White,Property,0.0
2017,Alpine,Female,White,PublicOrder,0.0
2017,Alpine,Female,White,Violent,0.0
2017,Alpine,Male,Asian/other,Drug,0.0
2017,Alpine,Male,Asian/other,Property,0.0
2017,Alpine,Male,Asian/other,PublicOrder,2.0
2017,Alpine,Male,Asian/other,Violent,1.0
2017,Alpine,Male,Black,Drug,0.0
2017,Alpine,Male,Black,Property,0.0
2017,Alpine,Male,Black,PublicOrder,0.0
2017,Alpine,Male,Black,Violent,0.0
2017,Alpine,Male,Latinx,Drug,0.0
2017,Alpine,Male,Latinx,Property,0.0
2017,Alpine,Male,Latinx,PublicOrder,1.0
2017,Alpine,Male,Latinx,Violent,0.0
2017,Alpine,Male,White,Drug,1.0
2017,Alpine,Male,White,Property,0.0
2017,Alpine,Male,White,PublicOrder,2.0
2017,Alpine,Male,White,Violent,2.0
2017,Amador,Female,Asian/other,Drug,6.0
2017,Amador,Female,Asian/other,Property,2.0
2017,Amador,Female,Asian/other,PublicOrder,4.0
2017,Amador,Female,Asian/other,Violent,1.0
2017,Amador,Female,Black,Drug,3.0
2017,Amador,Female,Black,Property,0.0
2017,Amador,Female,Black,PublicOrder,8.0
2017,Amador,Female,Black,Violent,0.0
2017,Amador,Female,Latinx,Drug,1.0
2017,Amador,Female,Latinx,Property,2.0
2017,Amador,Female,Latinx,PublicOrder,4.0
2017,Amador,Female,Latinx,Violent,3.0
2017,Amador,Female,White,Drug,11.0
2017,Amador,Female,White,Property,14.0
2017,Amador,Female,White,PublicOrder,29.0
2017,Amador,Female,White,Violent,14.0
2017,Amador,Male,Asian/other,Drug,11.0
2017,Amador,Male,Asian/other,Property,4.0
2017,Amador,Male,Asian/other,PublicOrder,3.0
2017,Amador,Male,Asian/other,Violent,2.0
2017,Amador,Male,Black,Drug,3.0
2017,Amador,Male,Black,Property,3.0
2017,Amador,Male,Black,PublicOrder,2.0
2017,Amador,Male,Black,Violent,2.0
2017,Amador,Male,Latinx,Drug,5.0
2017,Amador,Male,Latinx,Property,7.0
2017,Amador,Male,Latinx,PublicOrder,14.0
2017,Amador,Male,Latinx,Violent,3.0
2017,Amador,Male,White,Drug,22.0
2017,Amador,Male,White,Property,25.0
2017,Amador,Male,White,PublicOrder,83.0
2017,Amador,Male,White,Violent,54.0
2017,Butte,Female,Asian/other,Drug,2.0
2017,Butte,Female,Asian/other,Property,6.0
2017,Butte,Female,Asian/other,PublicOrder,1.0
2017,Butte,Female,Asian/other,Violent,8.0
2017,Butte,Female,Black,Drug,1.0
2017,Butte,Female,Black,Property,2.0
2017,Butte,Female,Black,PublicOrder,10.0
2017,Butte,Female,Black,Violent,5.0
2017,Butte,Female,Latinx,Drug,1.0
2017,Butte,Female,Latinx,Property,16.0
2017,Butte,Female,Latinx,PublicOrder,12.0
2017,Butte,Female,Latinx,Violent,17.0
2017,Butte,Female,White,Drug,37.0
2017,Butte,Female,White,Property,127.0
2017,Butte,Female,White,PublicOrder,84.0
2017,Butte,Female,White,Violent,112.0
2017,Butte,Male,Asian/other,Drug,5.0
2017,Butte,Male,Asian/other,Property,21.0
2017,Butte,Male,Asian/other,PublicOrder,19.0
2017,Butte,Male,Asian/other,Violent,34.0
2017,Butte,Male,Black,Drug,11.0
2017,Butte,Male,Black,Property,13.0
2017,Butte,Male,Black,PublicOrder,31.0
2017,Butte,Male,Black,Violent,45.0
2017,Butte,Male,Latinx,Drug,31.0
2017,Butte,Male,Latinx,Property,37.0
2017,Butte,Male,Latinx,PublicOrder,59.0
2017,Butte,Male,Latinx,Violent,73.0
2017,Butte,Male,White,Drug,133.0
2017,Butte,Male,White,Property,290.0
2017,Butte,Male,White,PublicOrder,299.0
2017,Butte,Male,White,Violent,376.0
2017,Calaveras,Female,Asian/other,Drug,8.0
2017,Calaveras,Female,Asian/other,Property,1.0
2017,Calaveras,Female,Asian/other,PublicOrder,1.0
2017,Calaveras,Female,Asian/other,Violent,1.0
2017,Calaveras,Female,Black,Drug,0.0
2017,Calaveras,Female,Black,Property,0.0
2017,Calaveras,Female,Black,PublicOrder,1.0
2017,Calaveras,Female,Black,Violent,2.0
2017,Calaveras,Female,Latinx,Drug,0.0
2017,Calaveras,Female,Latinx,Property,0.0
2017,Calaveras,Female,Latinx,PublicOrder,3.0
2017,Calaveras,Female,Latinx,Violent,2.0
2017,Calaveras,Female,White,Drug,4.0
2017,Calaveras,Female,White,Property,12.0
2017,Calaveras,Female,White,PublicOrder,24.0
2017,Calaveras,Female,White,Violent,43.0
2017,Calaveras,Male,Asian/other,Drug,21.0
2017,Calaveras,Male,Asian/other,Property,3.0
2017,Calaveras,Male,Asian/other,PublicOrder,13.0
2017,Calaveras,Male,Asian/other,Violent,5.0
2017,Calaveras,Male,Black,Drug,0.0
2017,Calaveras,Male,Black,Property,0.0
2017,Calaveras,Male,Black,PublicOrder,2.0
2017,Calaveras,Male,Black,Violent,3.0
2017,Calaveras,Male,Latinx,Drug,9.0
2017,Calaveras,Male,Latinx,Property,4.0
2017,Calaveras,Male,Latinx,PublicOrder,9.0
2017,Calaveras,Male,Latinx,Violent,13.0
2017,Calaveras,Male,White,Drug,14.0
2017,Calaveras,Male,White,Property,19.0
2017,Calaveras,Male,White,PublicOrder,90.0
2017,Calaveras,Male,White,Violent,119.0
2017,Colusa,Female,Asian/other,Drug,0.0
2017,Colusa,Female,Asian/other,Property,3.0
2017,Colusa,Female,Asian/other,PublicOrder,9.0
2017,Colusa,Female,Asian/other,Violent,2.0
2017,Colusa,Female,Black,Drug,1.0
2017,Colusa,Female,Black,Property,2.0
2017,Colusa,Female,Black,PublicOrder,4.0
2017,Colusa,Female,Black,Violent,0.0
2017,Colusa,Female,Latinx,Drug,1.0
2017,Colusa,Female,Latinx,Property,2.0
2017,Colusa,Female,Latinx,PublicOrder,7.0
2017,Colusa,Female,Latinx,Violent,8.0
2017,Colusa,Female,White,Drug,2.0
2017,Colusa,Female,White,Property,7.0
2017,Colusa,Female,White,PublicOrder,12.0
2017,Colusa,Female,White,Violent,9.0
2017,Colusa,Male,Asian/other,Drug,1.0
2017,Colusa,Male,Asian/other,Property,1.0
2017,Colusa,Male,Asian/other,PublicOrder,8.0
2017,Colusa,Male,Asian/other,Violent,4.0
2017,Colusa,Male,Black,Drug,0.0
2017,Colusa,Male,Black,Property,7.0
2017,Colusa,Male,Black,PublicOrder,14.0
2017,Colusa,Male,Black,Violent,4.0
2017,Colusa,Male,Latinx,Drug,4.0
2017,Colusa,Male,Latinx,Property,12.0
2017,Colusa,Male,Latinx,PublicOrder,46.0
2017,Colusa,Male,Latinx,Violent,29.0
2017,Colusa,Male,White,Drug,5.0
2017,Colusa,Male,White,Property,10.0
2017,Colusa,Male,White,PublicOrder,43.0
2017,Colusa,Male,White,Violent,21.0
2017,Contra Costa,Female,Asian/other,Drug,8.0
2017,Contra Costa,Female,Asian/other,Property,55.0
2017,Contra Costa,Female,Asian/other,PublicOrder,20.0
2017,Contra Costa,Female,Asian/other,Violent,31.0
2017,Contra Costa,Female,Black,Drug,18.0
2017,Contra Costa,Female,Black,Property,283.0
2017,Contra Costa,Female,Black,PublicOrder,134.0
2017,Contra Costa,Female,Black,Violent,199.0
2017,Contra Costa,Female,Latinx,Drug,24.0
2017,Contra Costa,Female,Latinx,Property,110.0
2017,Contra Costa,Female,Latinx,PublicOrder,67.0
2017,Contra Costa,Female,Latinx,Violent,88.0
2017,Contra Costa,Female,White,Drug,70.0
2017,Contra Costa,Female,White,Property,342.0
2017,Contra Costa,Female,White,PublicOrder,136.0
2017,Contra Costa,Female,White,Violent,145.0
2017,Contra Costa,Male,Asian/other,Drug,51.0
2017,Contra Costa,Male,Asian/other,Property,130.0
2017,Contra Costa,Male,Asian/other,PublicOrder,96.0
2017,Contra Costa,Male,Asian/other,Violent,177.0
2017,Contra Costa,Male,Black,Drug,212.0
2017,Contra Costa,Male,Black,Property,713.0
2017,Contra Costa,Male,Black,PublicOrder,570.0
2017,Contra Costa,Male,Black,Violent,727.0
2017,Contra Costa,Male,Latinx,Drug,182.0
2017,Contra Costa,Male,Latinx,Property,471.0
2017,Contra Costa,Male,Latinx,PublicOrder,435.0
2017,Contra Costa,Male,Latinx,Violent,567.0
2017,Contra Costa,Male,White,Drug,266.0
2017,Contra Costa,Male,White,Property,741.0
2017,Contra Costa,Male,White,PublicOrder,560.0
2017,Contra Costa,Male,White,Violent,593.0
2017,Del Norte,Female,Asian/other,Drug,3.0
2017,Del Norte,Female,Asian/other,Property,2.0
2017,Del Norte,Female,Asian/other,PublicOrder,2.0
2017,Del Norte,Female,Asian/other,Violent,13.0
2017,Del Norte,Female,Black,Drug,0.0
2017,Del Norte,Female,Black,Property,0.0
2017,Del Norte,Female,Black,PublicOrder,0.0
2017,Del Norte,Female,Black,Violent,1.0
